Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,112.660004,113.68,112.050003,113.540001,110.982254,565000
2016-06-02,113.5,113.980003,113.029999,113.980003,111.412346,477400
2016-06-03,113.620003,113.739998,112.410004,113.339996,110.786758,511500
2016-06-06,113.709999,113.849998,112.910004,113.730003,111.167976,501800
2016-06-07,113.769997,114.41999799999999,113.41999799999999,114.220001,111.64693500000001,618000
2016-06-08,114.300003,114.690002,113.82,114.019997,111.451439,837200
2016-06-09,113.550003,114.489998,112.959999,114.370003,111.79355600000001,477500
2016-06-10,113.099998,113.550003,112.599998,112.940002,110.395775,537300
2016-06-13,112.470001,113.300003,111.779999,112.33000200000001,109.799522,958200
2016-06-14,111.93,112.199997,110.959999,111.120003,108.616776,1120900
2016-06-15,111.33000200000001,112.690002,110.839996,111.839996,109.32054099999999,1080200
2016-06-16,111.610001,112.230003,110.550003,112.019997,109.49648300000001,645000
2016-06-17,112.129997,112.779999,111.690002,112.589996,110.05365800000001,1334100
2016-06-20,113.779999,115.160004,112.860001,114.339996,111.76423600000001,1155300
2016-06-21,114.300003,114.559998,113.790001,114.07,111.50032,954700
2016-06-22,114.129997,114.360001,113.519997,113.650002,111.08978300000001,671100
2016-06-23,114.709999,115.050003,114.260002,115.050003,112.458244,397700
2016-06-24,110.599998,111.82,106.82,107.230003,104.8144,2276700
2016-06-27,106.360001,106.360001,103.860001,104.239998,101.891754,1645100
2016-06-28,105.279999,106.279999,104.949997,106.220001,103.827156,1481500
2016-06-29,107.5,108.150002,106.83000200000001,108.08000200000001,105.645248,1331400
2016-06-30,108.629997,111.220001,108.25,111.220001,108.71451599999999,1520600
2016-07-01,111.279999,112.639999,110.879997,112.32,109.78974199999999,1181700
2016-07-05,111.68,112.470001,110.480003,111.400002,108.89046499999999,832400
2016-07-06,110.690002,112.16999799999999,110.440002,112.099998,109.574692,894300
2016-07-07,111.900002,113.309998,111.900002,112.970001,110.425102,792500
2016-07-08,113.970001,115.360001,113.83000200000001,114.970001,112.380043,1046700
2016-07-11,115.599998,116.220001,115.370003,115.860001,113.24999199999999,608400
2016-07-12,116.58000200000001,117.400002,115.91999799999999,116.839996,114.207916,707500
2016-07-13,117.220001,117.610001,116.629997,117.239998,114.5989,476400
2016-07-14,118.059998,118.470001,117.339996,117.459999,114.813942,585900
2016-07-15,117.800003,117.949997,117.019997,117.339996,114.696648,670000
2016-07-18,117.050003,117.559998,116.75,117.33000200000001,114.686874,475600
2016-07-19,116.16999799999999,117.0,115.980003,116.589996,113.96353899999998,755400
2016-07-20,116.83000200000001,117.279999,116.360001,116.989998,114.35453000000001,688200
2016-07-21,116.589996,116.879997,114.400002,114.970001,112.380043,1735500
2016-07-22,119.400002,121.099998,118.16999799999999,120.489998,117.77568799999999,2226100
2016-07-25,120.599998,121.730003,119.540001,121.489998,118.75315900000001,1291800
2016-07-26,121.400002,122.550003,120.5,122.41999799999999,119.662209,1243500
2016-07-27,122.559998,123.300003,121.699997,122.360001,119.60356100000001,1102300
2016-07-28,122.199997,122.43,121.129997,122.16999799999999,119.41783899999999,631300
2016-07-29,121.800003,122.190002,121.139999,121.699997,118.958427,990700
2016-08-01,121.82,122.199997,121.050003,122.08000200000001,119.329872,799600
2016-08-02,122.099998,122.099998,120.949997,121.650002,118.90956899999999,890700
